,joint_effort[0],joint_effort[1],joint_effort[2],joint_effort[3],joint_effort[4],joint_effort[5],cluster
0,-0.756133325682446,0.119219622830985,-1.45747709988937,-0.740116148346099,-0.260318952366695,0.079311500220317,0
1,-0.956590137875574,-0.512452550984803,-1.40963344504363,-0.805454643150109,-0.230639091960305,0.013746601838807,1
2,-0.686441733667283,0.37051230586381,-1.39453120985806,-0.614008080629853,-0.298362450164139,-0.006872438870981,0
3,-0.337800440523736,1.9721795209405,-1.49479006512353,-0.208056164368658,-0.389722666114864,-0.124249672038862,1
4,-0.579967595751403,0.795530187804819,-1.62906290017636,-0.449083970372047,-0.334361205696045,-0.095856369288261,1
5,-0.22563484644909,0.26992859170249,-1.49995664747293,-0.608840960365234,-0.383736696465797,-0.004136814464591,0
6,-0.201273453712302,0.357055231535409,-1.45985462837249,-0.554741418352769,-0.377478729204247,-0.010265539457071,0
7,-0.181986712161349,0.71588325155246,-1.57397227292194,-0.419672681424482,-0.3825206498666,-0.057228537167422,0
8,-0.181460858019669,1.22640422667954,-1.45972772477667,-0.247537295478962,-0.383681506697866,-0.112383183430301,1
9,-0.168221182050284,0.346003600947142,-1.43097639071501,-0.447670101252657,-0.381251876872668,-0.059960394806659,0
10,-0.118254891148972,0.092530274347888,-1.41901443341188,-0.521372551522095,-0.385905653205191,-0.034271452835921,0
11,-0.079184268463334,0.204879584671608,-1.43383528007867,-0.507175125038938,-0.393999077138265,-0.02865767803532,0
12,-0.100036250398625,0.122774395963204,-1.42328820132187,-0.516220461296767,-0.390453822428267,-0.029344173982662,0
13,-0.142952682639017,0.565884970867565,-1.46843807813321,-0.40132323529402,-0.385345879944273,-0.057918347766746,0
14,-0.115878767386625,0.478214487235624,-1.4381373010268,-0.404259201132139,-0.389220642599862,-0.06745460054929,0
15,-0.108478227487965,0.412155273809442,-1.43279681638871,-0.431472578919188,-0.38841803377095,-0.051857261441542,0
16,-0.068120766187523,0.277379682663467,-1.4455703852805,-0.476256166641334,-0.394842570458734,-0.03254366057522,0
17,-0.077893136703831,0.189868398998744,-1.44512626500258,-0.497492233447167,-0.39199045939336,-0.02602315331805,0
18,-0.074276749201512,0.226673687629613,-1.44113025021245,-0.478730776286256,-0.392520852447292,-0.034515974855571,0
19,-0.067889045130433,0.405337154074274,-1.44173921334666,-0.430420072295729,-0.396484630333801,-0.050080069740604,0
20,-0.06969329746562,0.44107753690966,-1.41460305374924,-0.419106589162208,-0.392156589371215,-0.052813643131336,0
21,-0.092642280244263,0.343894938995286,-1.399562981697,-0.445471154077664,-0.386003376050301,-0.043462892191303,0
22,-0.055120755942827,0.175903204478144,-1.42181575585778,-0.489906158640628,-0.393688954899667,-0.030898110676076,0
23,-0.029328100618306,0.206567308355908,-1.43741377948508,-0.484394082768443,-0.401142186709423,-0.027053311015566,0
24,-0.038267474603195,0.332420506535482,-1.43220702745296,-0.449246989977577,-0.39910682079556,-0.038134288577768,0
25,-0.033935741033086,0.387285366613416,-1.44427628427506,-0.428645504835675,-0.400274242520216,-0.047813132830624,0
26,-0.040306554101952,0.356418062720718,-1.43025446309041,-0.436400275835582,-0.39698507429579,-0.04474780765851,0
27,-0.053475072276199,0.263507078055372,-1.43898919055778,-0.465378456630281,-0.394241856941491,-0.036414055031762,0
28,-0.057700101841715,0.218042938679049,-1.42636981298371,-0.480430448088153,-0.391748886336503,-0.030497730052165,0
29,-0.027849192836399,0.301714306115258,-1.41945643904099,-0.457667717152999,-0.39882687031123,-0.035523004041602,0
30,-0.04651311538111,0.349424944311006,-1.42593391316352,-0.437260460802264,-0.394361339829987,-0.04316449436025,0
31,-0.023680982717274,0.370716217623724,-1.43254067453972,-0.432566754104907,-0.39967546146066,-0.045625934776487,0
