,base,rotation,translation,base1,rotation1,translation1
0,0.88546324,-0.18491273,-0.010750309,1.0,0.0,0.0
1,0.97199905,-0.15960608,-0.013082575,1.0,0.0,0.0
2,0.80775297,-0.082266144,-0.016599499,1.0,0.0,0.0
3,0.8845018,-0.24226777,-0.052992832,1.0,0.0,0.0
4,0.8935777,-0.24027716,-0.043184552,1.0,0.0,0.0
5,0.87506974,-0.20413691,-0.016578749,1.0,0.0,0.0
6,0.86435807,-0.19414175,0.02403061,1.0,0.0,0.0
7,0.8611997,-0.19710939,0.022539143,1.0,0.0,0.0
8,0.8201725,-0.10221826,-0.017383829,1.0,0.0,0.0
9,0.9778751,-0.15907441,-0.021474723,1.0,0.0,0.0
10,0.9790329,-0.15125914,-0.01980329,1.0,0.0,0.0
11,0.891195,-0.23782785,-0.049966406,1.0,0.0,0.0
12,0.84587145,-0.03598898,-0.02593406,1.0,0.0,0.0
13,0.85173464,-0.18270351,0.04200652,1.0,0.0,0.0
14,-0.20003058,-0.31530493,1.2443631,0.0,0.0,1.0
15,0.8906032,-0.25103593,-0.037263032,1.0,0.0,0.0
16,0.8691294,-0.24447624,-0.04220615,1.0,0.0,0.0
17,0.81641775,-0.12134642,-0.020168003,1.0,0.0,0.0
18,0.7869104,-0.060714982,-0.018055107,1.0,0.0,0.0
19,0.7850124,0.0357768,-0.02607705,1.0,0.0,0.0
20,0.8645235,-0.20802802,0.040991474,1.0,0.0,0.0
21,0.832652,-0.15706605,-0.021994162,1.0,0.0,0.0
22,0.882143,-0.23500167,-0.04929668,1.0,0.0,0.0
23,0.82596487,-0.12330034,-0.019712005,1.0,0.0,0.0
24,0.8405801,-0.18989006,0.05352817,0.0,0.0,1.0
25,0.7537276,-0.16627021,0.15702486,1.0,0.0,0.0
26,-0.066735856,-0.20884418,1.0206988,0.0,0.0,1.0
27,0.8342401,-0.008401683,-0.021792684,1.0,0.0,0.0
28,0.9260371,-0.26645377,-0.058198895,1.0,0.0,0.0
29,0.9737045,-0.16718487,-0.021786217,1.0,0.0,0.0
30,0.9349271,-0.22984259,-0.009783071,1.0,0.0,0.0
31,0.84854585,-0.03617876,-0.017210294,1.0,0.0,0.0
32,0.8834289,-0.24262248,-0.059173267,1.0,0.0,0.0
33,0.7951691,-0.19872138,0.10584045,1.0,0.0,0.0
34,0.9628703,-0.14550991,-0.011719916,1.0,0.0,0.0
35,0.81898105,-0.066151254,-0.009437978,1.0,0.0,0.0
36,0.49029994,-0.06859914,0.2971483,1.0,0.0,0.0
37,0.5560092,-0.1676154,0.373893,1.0,0.0,0.0
38,0.84721124,-0.042196564,-0.014736999,1.0,0.0,0.0
39,0.9782202,-0.16039403,-0.01677071,1.0,0.0,0.0
40,0.82760745,-0.1691886,0.07088562,1.0,0.0,0.0
41,0.94324976,-0.21661954,-0.00516592,1.0,0.0,0.0
42,0.94944036,-0.17205293,-0.023152549,1.0,0.0,0.0
43,0.8850144,-0.22801925,-0.054678727,1.0,0.0,0.0
44,-0.08587284,-0.15449579,0.9670881,0.0,0.0,1.0
45,-0.025718028,0.72724426,-0.027347047,0.0,1.0,0.0
46,0.87379503,-0.1422942,-0.013095852,1.0,0.0,0.0
47,0.85837203,-0.19861251,-0.023947155,1.0,0.0,0.0
48,0.8824891,-0.23783128,-0.052457858,1.0,0.0,0.0
49,0.87881553,-0.24326606,-0.051653035,1.0,0.0,0.0
50,0.97362566,-0.16156961,-0.017105464,1.0,0.0,0.0
51,0.9296364,-0.108717255,-0.012110699,1.0,0.0,0.0
52,0.8681789,-0.19156261,0.037770074,1.0,0.0,0.0
53,0.8773918,-0.19440491,0.0072108465,1.0,0.0,0.0
54,0.8740982,-0.26511374,-0.019960072,1.0,0.0,0.0
55,0.9267978,-0.14958279,-0.017417531,1.0,0.0,0.0
56,0.7974204,-0.07152348,-0.016048647,1.0,0.0,0.0
57,0.27255934,-0.12546265,0.5809213,0.0,0.0,1.0
58,0.6362125,0.043087833,-0.02382598,1.0,0.0,0.0
59,0.97754616,-0.16230284,-0.020815212,1.0,0.0,0.0
60,0.9414909,-0.2526182,-0.006764975,1.0,0.0,0.0
61,0.9293615,-0.28167164,-0.04914337,1.0,0.0,0.0
62,0.71861815,-0.23351754,0.09555907,1.0,0.0,0.0
63,0.86831,-0.17822537,-0.011308096,1.0,0.0,0.0
64,0.88986474,-0.08790105,-0.02215596,1.0,0.0,0.0
65,0.92614186,-0.1172648,-0.00408103,1.0,0.0,0.0
66,0.64070946,-0.2501462,0.27274123,1.0,0.0,0.0
67,0.7019183,0.052765287,-0.00860377,1.0,0.0,0.0
68,0.87079155,-0.16530338,-0.014321137,1.0,0.0,0.0
69,0.8915268,-0.105331235,-0.02381539,1.0,0.0,0.0
70,0.46473923,-0.26561013,0.4960021,0.0,0.0,1.0
71,0.9518161,-0.14789127,-0.018840749,1.0,0.0,0.0
72,0.95212626,-0.1775542,-0.02221686,1.0,0.0,0.0
73,0.9251761,-0.25025558,-0.010393087,1.0,0.0,0.0
74,0.7101449,-0.21267991,0.18442598,1.0,0.0,0.0
75,-0.10170943,-0.1909728,1.0230981,0.0,0.0,1.0
76,0.92811966,-0.14741148,-0.016750526,1.0,0.0,0.0
77,0.97373635,-0.1585298,-0.013337638,1.0,0.0,0.0
78,0.892572,-0.23742072,-0.048417173,1.0,0.0,0.0
79,0.88142806,-0.2428727,-0.056490783,1.0,0.0,0.0
80,0.8556384,-0.20207132,0.056208212,1.0,0.0,0.0
81,0.5792479,-0.03604024,0.19449644,1.0,0.0,0.0
82,0.8887489,-0.14284287,-0.0117515735,1.0,0.0,0.0
83,0.89313036,-0.07749792,-0.018419776,1.0,0.0,0.0
84,0.9655523,-0.342336,-0.008387033,1.0,0.0,0.0
85,-0.087277,0.19339235,0.62259203,0.0,0.0,1.0
86,0.8793818,-0.17559633,-0.011284787,1.0,0.0,0.0
87,0.9183003,-0.23441105,-0.010675713,1.0,0.0,0.0
88,0.7625856,-0.063931964,-0.01979532,1.0,0.0,0.0
89,0.81633896,-0.25996566,0.055152815,1.0,0.0,0.0
90,0.81004775,-0.21523456,0.089628644,1.0,0.0,0.0
91,0.80499154,-0.19155149,0.109437905,1.0,0.0,0.0
92,0.89350116,-0.170994,-0.01107461,1.0,0.0,0.0
93,0.7236699,-0.22125322,0.16713649,1.0,0.0,0.0
94,0.8804104,-0.24469401,-0.049148254,1.0,0.0,0.0
95,0.63970345,-0.26168674,0.29201606,1.0,0.0,0.0
96,0.8176303,-0.14560936,-0.022635948,1.0,0.0,0.0
97,0.89409196,-0.18893564,-0.012863945,1.0,0.0,0.0
98,0.9766992,-0.1617467,-0.016969819,1.0,0.0,0.0
99,0.96448493,-0.16661899,-0.021367345,1.0,0.0,0.0
100,0.8069582,-0.09444832,-0.016456936,1.0,0.0,0.0
101,0.9122559,-0.2530673,-0.05341017,1.0,0.0,0.0
102,0.8711594,-0.24374692,-0.041695323,1.0,0.0,0.0
103,0.87919605,-0.28762424,0.020462107,1.0,0.0,0.0
104,0.96605027,-0.16739948,-0.018371094,1.0,0.0,0.0
105,0.734263,-0.21235149,0.18520778,1.0,0.0,0.0
106,0.8678193,-0.20734374,0.013909224,1.0,0.0,0.0
107,0.96787906,-0.17341761,-0.022971343,1.0,0.0,0.0
108,0.84346,-0.20126204,0.04903802,1.0,0.0,0.0
109,0.9313978,-0.13561513,-0.00161719,0.0,1.0,0.0
110,0.854429,-0.19905616,0.03768151,1.0,0.0,0.0
111,0.85765904,-0.24244492,-0.03297881,1.0,0.0,0.0
112,0.7502187,-0.03053247,-0.015802287,1.0,0.0,0.0
113,0.8173378,-0.0054879393,-0.03276046,1.0,0.0,0.0
114,0.94608986,-0.28025937,-0.009622879,1.0,0.0,0.0
115,0.8412937,-0.1887303,0.039054483,1.0,0.0,0.0
116,-0.09948907,-0.2275544,1.0177301,0.0,0.0,1.0
117,0.877322,-0.060938142,-0.02313124,1.0,0.0,0.0
118,0.843078,-0.13961743,-0.018232856,1.0,0.0,0.0
119,0.8876783,-0.23994045,-0.055641074,1.0,0.0,0.0
120,0.9148129,-0.1879593,-0.009548068,1.0,0.0,0.0
121,0.8634656,-0.20155413,0.028805163,1.0,0.0,0.0
122,0.8698724,-0.26705506,-0.02761833,1.0,0.0,0.0
123,0.9664647,-0.1605107,0.006412919,1.0,0.0,0.0
124,0.9687455,-0.15839405,-0.021164287,1.0,0.0,0.0
125,0.88283515,-0.24643524,-0.0577476,0.0,0.0,1.0
126,0.9147693,-0.24013077,-0.0126201175,1.0,0.0,0.0
127,0.85919887,-0.18796347,-0.016656004,1.0,0.0,0.0
128,0.87723684,-0.19846651,0.008725408,1.0,0.0,0.0
129,-0.028276244,-0.15245913,0.996419,0.0,0.0,1.0
130,0.7429289,-0.014071962,-0.019932535,1.0,0.0,0.0
131,0.7979031,-0.19402416,0.116754174,1.0,0.0,0.0
132,0.9595495,-0.14873339,-0.01754338,1.0,0.0,0.0
133,0.82863283,-0.23454137,0.008290365,1.0,0.0,0.0
134,0.8369488,-0.17440166,0.04672397,0.0,0.0,1.0
135,0.9578061,-0.16207774,-0.014680009,1.0,0.0,0.0
136,0.7787057,-0.1787334,0.13657473,1.0,0.0,0.0
137,0.95985675,-0.15060021,-0.014729071,1.0,0.0,0.0
138,0.9047193,-0.2477216,-0.055013403,1.0,0.0,0.0
139,0.7957291,-0.19721313,0.098055646,1.0,0.0,0.0
140,0.6951178,0.066290475,-0.0062916246,1.0,0.0,0.0
141,0.7718049,-0.0733264,-0.021455891,1.0,0.0,0.0
142,0.9777632,-0.15078722,-0.018905092,1.0,0.0,0.0
143,0.85358775,-0.23681878,0.042210385,1.0,0.0,0.0
144,0.826164,-0.17530869,0.073516384,1.0,0.0,0.0
145,0.9440194,-0.15868013,-0.006511737,1.0,0.0,0.0
146,0.90601426,-0.22300445,-0.01212028,1.0,0.0,0.0
147,0.3775004,-0.19998668,0.5187634,0.0,0.0,1.0
148,0.98148954,-0.15243803,-0.01854344,1.0,0.0,0.0
149,0.92885804,-0.15931655,-0.016885344,1.0,0.0,0.0
150,0.92153436,-0.12437325,-0.02024639,1.0,0.0,0.0
151,0.8790152,-0.254497,-0.046710595,1.0,0.0,0.0
152,0.90421396,-0.24718706,-0.023308419,1.0,0.0,0.0
153,0.869088,-0.19406183,-0.015795171,1.0,0.0,0.0
154,0.78568095,-0.036865436,-0.016970724,1.0,0.0,0.0
155,0.9105331,-0.25370824,-0.055718552,1.0,0.0,0.0
156,0.7175652,0.019607345,-0.021275073,1.0,0.0,0.0
157,0.8278581,-0.16980158,0.07483167,1.0,0.0,0.0
158,0.8492545,-0.20097093,0.029047597,1.0,0.0,0.0
159,0.88501275,-0.20275919,-0.011685841,1.0,0.0,0.0
160,0.8872151,-0.23080261,-0.05488864,1.0,0.0,0.0
161,0.6538484,0.066665076,-0.014332425,1.0,0.0,0.0
162,0.88156193,-0.24321114,-0.057456937,1.0,0.0,0.0
163,0.8514849,-0.17829394,0.030105896,1.0,0.0,0.0
164,0.7723748,-0.07971092,-0.025497954,1.0,0.0,0.0
165,0.9411866,-0.16972621,-0.022352394,1.0,0.0,0.0
166,0.8624535,-0.15682253,-0.015383646,1.0,0.0,0.0
