,base,rotation,translation,base1,rotation1,translation1
0,0.75078046,0.14885437,-0.08284922,1.0,0.0,0.0
1,0.7508522,0.14881983,-0.08280571,1.0,0.0,0.0
2,0.75077534,0.14885478,-0.08285196,1.0,0.0,0.0
3,0.7510901,0.14850755,-0.08273551,1.0,0.0,0.0
4,0.7508131,0.14883806,-0.0828187,1.0,0.0,0.0
5,0.7507461,0.14887479,-0.08286086,1.0,0.0,0.0
6,0.75079894,0.14876503,-0.082858905,1.0,0.0,0.0
7,0.7511204,0.14848568,-0.08273129,1.0,0.0,0.0
8,0.75075495,0.14890324,-0.08283378,1.0,0.0,0.0
9,0.75070465,0.14889197,-0.0828709,1.0,0.0,0.0
10,0.75087607,0.14867352,-0.08284937,1.0,0.0,0.0
11,0.75084126,0.14871739,-0.08284916,1.0,0.0,0.0
12,0.7508152,0.14879547,-0.08285272,1.0,0.0,0.0
13,0.75095177,0.14865448,-0.082761824,1.0,0.0,0.0
14,0.7508575,0.14869179,-0.082854286,1.0,0.0,0.0
15,0.75077105,0.14885642,-0.08285187,1.0,0.0,0.0
16,0.7507478,0.14882393,-0.08285478,1.0,0.0,0.0
17,0.7510278,0.14860037,-0.0827834,0.0,1.0,0.0
18,0.7507795,0.1487854,-0.08285709,1.0,0.0,0.0
19,0.7508038,0.14883949,-0.08283937,1.0,0.0,0.0
20,0.7507564,0.14886981,-0.08286366,1.0,0.0,0.0
21,0.7508489,0.14875801,-0.08285141,1.0,0.0,0.0
22,0.75084317,0.14881876,-0.08281128,1.0,0.0,0.0
23,0.7507806,0.14881119,-0.082869515,1.0,0.0,0.0
24,0.7507745,0.14879647,-0.0828563,1.0,0.0,0.0
25,0.7510747,0.14852639,-0.082739145,1.0,0.0,0.0
26,0.7509687,0.14863358,-0.08275914,1.0,0.0,0.0
27,0.75082314,0.1488386,-0.08281724,1.0,0.0,0.0
28,0.7507801,0.14883621,-0.08286053,1.0,0.0,0.0
29,0.75075096,0.14882676,-0.082852155,1.0,0.0,0.0
30,0.75075316,0.14887817,-0.08285321,1.0,0.0,0.0
31,0.7507244,0.14889242,-0.0828605,0.0,1.0,0.0
32,0.75106764,0.14854158,-0.08273901,1.0,0.0,0.0
33,0.7513587,0.14822343,-0.08268279,1.0,0.0,0.0
34,0.75080556,0.148861,-0.08281624,1.0,0.0,0.0
35,0.7506614,0.14894165,-0.082874775,0.0,1.0,0.0
36,0.7508973,0.14875853,-0.08279708,1.0,0.0,0.0
37,0.7509221,0.14868945,-0.08276965,1.0,0.0,0.0
38,0.75088274,0.1486644,-0.08285825,1.0,0.0,0.0
39,0.7507763,0.14885472,-0.082856,1.0,0.0,0.0
40,0.7507105,0.14889094,-0.08286925,1.0,0.0,0.0
41,0.750758,0.1488636,-0.08286458,1.0,0.0,0.0
42,0.7507992,0.14881316,-0.082838535,0.0,1.0,0.0
43,0.75077933,0.14884268,-0.08286068,1.0,0.0,0.0
44,0.75342536,0.1456105,-0.0822718,0.0,0.0,1.0
45,0.7507633,0.14888589,-0.08283006,1.0,0.0,0.0
46,0.75079954,0.14877808,-0.08285481,1.0,0.0,0.0
47,0.7507895,0.14885904,-0.08283998,1.0,0.0,0.0
48,0.750744,0.1488415,-0.08285555,1.0,0.0,0.0
49,0.751149,0.14852564,-0.08273399,0.0,0.0,1.0
50,0.7511467,0.14844905,-0.08272603,1.0,0.0,0.0
51,0.7508615,0.14879851,-0.082803786,1.0,0.0,0.0
52,0.7507525,0.14886923,-0.08286296,1.0,0.0,0.0
53,0.75072086,0.14886566,-0.08286114,1.0,0.0,0.0
54,0.7508492,0.14881742,-0.08280799,1.0,0.0,0.0
55,0.7509492,0.14872107,-0.08277109,0.0,0.0,1.0
56,0.75076944,0.14880435,-0.08286215,1.0,0.0,0.0
57,0.7510587,0.14854991,-0.082744524,0.0,0.0,1.0
58,0.7508335,0.14877756,-0.08286081,1.0,0.0,0.0
59,0.75076437,0.14880948,-0.08285628,1.0,0.0,0.0
60,0.7507914,0.1487831,-0.082861945,1.0,0.0,0.0
61,0.7507553,0.14881597,-0.08285341,1.0,0.0,0.0
62,0.75126016,0.14832115,-0.082701325,1.0,0.0,0.0
63,0.7510525,0.14855075,-0.08274567,1.0,0.0,0.0
64,0.75077546,0.1488607,-0.08284961,1.0,0.0,0.0
65,0.751207,0.14838223,-0.0827125,1.0,0.0,0.0
66,0.7508426,0.14882775,-0.082809344,1.0,0.0,0.0
67,0.7507979,0.14876421,-0.08285645,1.0,0.0,0.0
68,0.7512456,0.14833947,-0.08270411,1.0,0.0,0.0
69,0.7507812,0.14883436,-0.08286047,1.0,0.0,0.0
70,0.7510296,0.14856972,-0.08274455,1.0,0.0,0.0
71,0.7509629,0.14872313,-0.08275619,0.0,0.0,1.0
72,0.75072885,0.1488651,-0.08286616,1.0,0.0,0.0
73,0.7508202,0.1487902,-0.08285451,1.0,0.0,0.0
